Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_0h_air_c_b2,11.83088,13.91565,13.92216,12.71295,9.590616,6.599376,6.884739,11.6272,7.600285,6.507653,3.62177,3.444727,2.850632,2.052491,2.24828,3.631548,4.29
0C_0h_air_d_b2,11.56251,12.87457,12.84143,11.69811,9.682585,6.527237,6.629529,10.73361,7.509139,6.423369,3.555163,3.167307,2.742341,2.004351,2.126791,3.486726,4.05
0C_120h_air_a_b2,11.97274,13.44521,14.25001,13.09989,8.812471,5.943326,7.066471,12.38809,7.842149,6.680748,4.510859,4.122376,3.010245,1.9273,2.576092,4.872694,3.78
0C_120h_air_b_b2,12.76052,13.99822,14.95826,13.56258,9.504879,6.464544,7.703394,13.2446,7.791135,6.539603,4.79796,4.302904,3.461496,2.127074,2.774699,5.154687,4.38
0C_144h_air_a_b2,11.82668,13.12008,13.51331,12.88933,9.315601,6.543884,7.694382,12.53308,7.701873,6.848971,4.812336,4.786583,3.813891,2.795675,3.470684,5.615361,4.43
0C_144h_air_b_b2,12.18358,13.50188,14.17346,13.23526,9.524104,6.401999,7.558971,12.99856,7.604125,6.529715,4.534555,4.181647,3.259705,2.023431,2.594476,4.883316,4.2
0C_216h_air_a_b2,11.81164,13.58302,14.20533,13.19485,9.634362,6.503191,7.599771,13.05067,7.453589,6.514579,4.09954,3.609233,3.202063,2.277659,2.859473,4.89843,5.57
0C_216h_air_b_b2,11.47346,13.07099,13.77271,12.62548,8.954532,6.129,7.238923,12.384,7.228067,6.419081,3.706515,3.080003,2.737211,1.953619,2.434072,4.132691,6.13
0C_240h_air_a_b2,12.53172,14.03308,14.5145,13.72779,9.33747,6.439867,7.708239,13.15725,7.247857,6.651792,4.068747,4.018995,3.490425,2.530155,2.991472,4.92269,6.1
0C_240h_air_b_b2,12.0024,13.18862,13.17201,12.34281,8.424026,5.971457,7.270586,12.0818,7.3326,6.273831,4.266032,3.9179,2.781473,1.959274,2.60245,4.607692,6.26
0C_288h_air_a_b2,12.07437,13.66634,14.41239,13.40577,9.023362,6.263187,7.737697,13.27878,7.687956,6.747561,4.520434,3.903004,3.291938,2.580516,3.260951,5.505426,6.98
